Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,53.35,53.4,51.19,51.58,7102192.0,0.0,1.0,53.35,53.4,51.19,51.58,7102192.0
2018-03-26,51.57,52.32,50.955,52.22,4147804.0,0.0,1.0,51.57,52.32,50.955,52.22,4147804.0
2018-03-23,52.49,52.71,50.57,50.68,5461600.0,0.0,1.0,52.49,52.71,50.57,50.68,5461600.0
2018-03-22,53.96,54.27,52.1,52.31,5113059.0,0.0,1.0,53.96,54.27,52.1,52.31,5113059.0
2018-03-21,54.76,55.38,54.205,54.72,2968367.0,0.0,1.0,54.76,55.38,54.205,54.72,2968367.0
2018-03-20,55.16,55.46,54.58,54.65,3181526.0,0.0,1.0,55.16,55.46,54.58,54.65,3181526.0
2018-03-19,54.99,55.175,54.23,54.96,4347277.0,0.0,1.0,54.99,55.175,54.23,54.96,4347277.0
2018-03-16,54.67,55.485,54.52,55.04,7555160.0,0.0,1.0,54.67,55.485,54.52,55.04,7555160.0
2018-03-15,54.99,54.99,54.17,54.61,2498338.0,0.0,1.0,54.99,54.99,54.17,54.61,2498338.0
2018-03-14,55.63,55.63,54.28,54.62,3206127.0,0.0,1.0,55.63,55.63,54.28,54.62,3206127.0
2018-03-13,55.9,55.96,55.21,55.38,3541665.0,0.0,1.0,55.9,55.96,55.21,55.38,3541665.0
2018-03-12,56.11,56.31,55.52,55.6,2878113.0,0.0,1.0,56.11,56.31,55.52,55.6,2878113.0
2018-03-09,55.51,56.08,55.13,56.03,2535278.0,0.0,1.0,55.51,56.08,55.13,56.03,2535278.0
2018-03-08,55.22,55.36,54.23,55.02,2080715.0,0.0,1.0,55.22,55.36,54.23,55.02,2080715.0
2018-03-07,54.67,55.1652,54.22,55.02,3022399.0,0.0,1.0,54.67,55.1652,54.22,55.02,3022399.0
2018-03-06,55.2,55.29,54.39,55.25,2954322.0,0.0,1.0,55.2,55.29,54.39,55.25,2954322.0
2018-03-05,53.73,55.08,53.35,54.92,3018488.0,0.0,1.0,53.73,55.08,53.35,54.92,3018488.0
2018-03-02,53.6,54.4199,52.79,54.29,3583997.0,0.0,1.0,53.6,54.4199,52.79,54.29,3583997.0
2018-03-01,54.32,54.78,53.44,53.89,4181590.0,0.0,1.0,54.32,54.78,53.44,53.89,4181590.0
2018-02-28,55.14,55.81,54.33,54.35,4069893.0,0.0,1.0,55.14,55.81,54.33,54.35,4069893.0
2018-02-27,55.45,56.19,54.95,54.95,3590750.0,0.0,1.0,55.45,56.19,54.95,54.95,3590750.0
2018-02-26,55.56,55.82,55.08,55.79,3213243.0,0.0,1.0,55.56,55.82,55.08,55.79,3213243.0
2018-02-23,54.55,55.37,54.47,55.36,3141429.0,0.0,1.0,54.55,55.37,54.47,55.36,3141429.0
2018-02-22,55.43,55.59,54.18,54.32,3658671.0,0.0,1.0,55.43,55.59,54.18,54.32,3658671.0
2018-02-21,54.68,55.85,54.57,55.09,3799126.0,0.0,1.0,54.68,55.85,54.57,55.09,3799126.0
2018-02-20,54.75,55.29,54.37,54.6,2899848.0,0.0,1.0,54.75,55.29,54.37,54.6,2899848.0
2018-02-16,54.58,55.26,54.55,54.96,2744578.0,0.0,1.0,54.58,55.26,54.55,54.96,2744578.0
2018-02-15,55.0,55.435,54.55,54.83,3700136.0,0.0,1.0,55.0,55.435,54.55,54.83,3700136.0
2018-02-14,53.24,54.83,53.15,54.74,3012462.0,0.0,1.0,53.24,54.83,53.15,54.74,3012462.0
2018-02-13,52.66,53.43,52.52,53.33,2238835.0,0.0,1.0,52.66,53.43,52.52,53.33,2238835.0
2018-02-12,52.71,53.65,52.4,53.0,3672390.0,0.0,1.0,52.71,53.65,52.4,53.0,3672390.0
2018-02-09,51.93,52.84,50.76,52.42,6464362.0,0.0,1.0,51.93,52.84,50.76,52.42,6464362.0
2018-02-08,53.55,53.57,51.04,51.07,4836669.0,0.0,1.0,53.55,53.57,51.04,51.07,4836669.0
2018-02-07,53.44,54.35,53.3,53.82,4510821.0,0.0,1.0,53.44,54.35,53.3,53.82,4510821.0
