Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,38.14,38.46,37.395,37.61,4362828.0,0.0,1.0,38.14,38.46,37.395,37.61,4362828.0
2018-03-26,37.38,38.3,37.13,38.11,4037088.0,0.0,1.0,37.38,38.3,37.13,38.11,4037088.0
2018-03-23,37.5,37.59,36.57,36.65,4497269.0,0.0,1.0,37.5,37.59,36.57,36.65,4497269.0
2018-03-22,38.25,38.37,37.19,37.27,2703137.0,0.0,1.0,38.25,38.37,37.19,37.27,2703137.0
2018-03-21,38.37,39.24,38.36,38.69,2157417.0,0.0,1.0,38.37,39.24,38.36,38.69,2157417.0
2018-03-20,38.37,38.54,37.97,38.37,2538356.0,0.0,1.0,38.37,38.54,37.97,38.37,2538356.0
2018-03-19,38.88,39.08,37.85,38.24,2445615.0,0.0,1.0,38.88,39.08,37.85,38.24,2445615.0
2018-03-16,38.77,39.285,38.74,38.99,3766603.0,0.0,1.0,38.77,39.285,38.74,38.99,3766603.0
2018-03-15,38.88,39.0,38.4,38.66,4205339.0,0.0,1.0,38.88,39.0,38.4,38.66,4205339.0
2018-03-14,39.64,39.66,38.75,38.86,3301528.0,0.0,1.0,39.64,39.66,38.75,38.86,3301528.0
2018-03-13,40.09,40.1,39.29,39.42,2732688.0,0.0,1.0,40.09,40.1,39.29,39.42,2732688.0
2018-03-12,40.43,40.54,39.72,39.83,2934201.0,0.0,1.0,40.43,40.54,39.72,39.83,2934201.0
2018-03-09,39.78,40.56,39.49,40.46,3843844.0,0.0,1.0,39.78,40.56,39.49,40.46,3843844.0
2018-03-08,39.5,39.62,39.07,39.52,2183627.0,0.0,1.0,39.5,39.62,39.07,39.52,2183627.0
2018-03-07,39.2,39.535,38.82,39.31,2315833.0,0.0,1.0,39.2,39.535,38.82,39.31,2315833.0
2018-03-06,39.46,39.99,39.06,39.6,3373496.0,0.0,1.0,39.46,39.99,39.06,39.6,3373496.0
2018-03-05,38.4,39.53,38.31,39.38,3243977.0,0.0,1.0,38.4,39.53,38.31,39.38,3243977.0
2018-03-02,38.11,38.88,37.99,38.79,2746691.0,0.0,1.0,38.11,38.88,37.99,38.79,2746691.0
2018-03-01,38.73,38.98,38.1,38.36,4802653.0,0.0,1.0,38.73,38.98,38.1,38.36,4802653.0
2018-02-28,39.29,39.6,38.66,38.67,3652203.0,0.0,1.0,39.29,39.6,38.66,38.67,3652203.0
