Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,161.13,162.2287,158.36,158.75,1676214.0,0.0,1.0,161.13,162.2287,158.36,158.75,1676214.0
2018-03-26,159.13,161.12,156.945,160.72,1524080.0,0.0,1.0,159.13,161.12,156.945,160.72,1524080.0
2018-03-23,158.17,159.19,155.27,155.42,1456939.0,0.0,1.0,158.17,159.19,155.27,155.42,1456939.0
2018-03-22,159.74,160.2799,157.53,157.55,2009518.0,0.0,1.0,159.74,160.2799,157.53,157.55,2009518.0
2018-03-21,160.93,163.07,160.25,161.48,1153571.0,0.0,1.0,160.93,163.07,160.25,161.48,1153571.0
2018-03-20,160.26,162.48,159.76,161.0,1185539.0,0.0,1.0,160.26,162.48,159.76,161.0,1185539.0
2018-03-19,162.85,163.22,158.45,159.61,2280014.0,0.0,1.0,162.85,163.22,158.45,159.61,2280014.0
2018-03-16,160.21,163.73,159.74,162.57,4118653.0,0.0,1.0,160.21,163.73,159.74,162.57,4118653.0
2018-03-15,159.93,160.97,159.15,160.16,1088052.0,0.0,1.0,159.93,160.97,159.15,160.16,1088052.0
2018-03-14,161.22,161.6,159.09,159.61,1184688.0,0.0,1.0,161.22,161.6,159.09,159.61,1184688.0
2018-03-13,161.0,162.98,159.92,160.35,1766167.0,0.0,1.0,161.0,162.98,159.92,160.35,1766167.0
2018-03-12,162.36,162.7,159.08100000000002,160.06,1694388.0,0.0,1.0,162.36,162.7,159.08100000000002,160.06,1694388.0
2018-03-09,160.51,163.52,159.83,162.37,1580291.0,0.0,1.0,160.51,163.52,159.83,162.37,1580291.0
2018-03-08,159.46,160.6,157.99,159.2,1794723.0,0.0,1.0,159.46,160.6,157.99,159.2,1794723.0
2018-03-07,158.34,160.66,157.13,159.25,2416740.0,0.0,1.0,158.34,160.66,157.13,159.25,2416740.0
2018-03-06,162.4,163.86,160.53,160.65,1609812.0,0.0,1.0,162.4,163.86,160.53,160.65,1609812.0
