Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,81.24,81.6,79.2,79.71,3664576.0,0.0,1.0,81.24,81.6,79.2,79.71,3664576.0
2018-03-26,80.18,81.43,79.51,81.1,4118346.0,0.0,1.0,80.18,81.43,79.51,81.1,4118346.0
2018-03-23,79.68,80.12,78.09,78.18,3310434.0,0.0,1.0,79.68,80.12,78.09,78.18,3310434.0
2018-03-22,80.64,81.36,79.28,79.43,2646733.0,0.0,1.0,80.64,81.36,79.28,79.43,2646733.0
2018-03-21,81.33,82.1,80.93,81.48,1839744.0,0.0,1.0,81.33,82.1,80.93,81.48,1839744.0
2018-03-20,80.7,81.87,80.5001,81.16,1763067.0,0.0,1.0,80.7,81.87,80.5001,81.16,1763067.0
2018-03-19,80.75,80.99,79.8163,80.46,1703835.0,0.0,1.0,80.75,80.99,79.8163,80.46,1703835.0
2018-03-16,80.43,81.3,80.23,80.98,4548819.0,0.0,1.0,80.43,81.3,80.23,80.98,4548819.0
2018-03-15,80.25,80.68,79.88,80.27,2834756.0,0.0,1.0,80.25,80.68,79.88,80.27,2834756.0
2018-03-14,81.89,81.9199,79.96,80.09,2326025.0,0.0,1.0,81.89,81.9199,79.96,80.09,2326025.0
2018-03-13,81.71,82.67,81.14,81.28,2858610.0,0.0,1.0,81.71,82.67,81.14,81.28,2858610.0
2018-03-12,83.09,83.24,81.21,81.53,3228797.0,0.0,1.0,83.09,83.24,81.21,81.53,3228797.0
2018-03-09,81.07,83.16,80.71,83.14,2904986.0,0.0,1.0,81.07,83.16,80.71,83.14,2904986.0
2018-03-08,81.93,81.96,80.49,81.14,3528980.0,0.0,1.0,81.93,81.96,80.49,81.14,3528980.0
2018-03-07,79.99,81.19,79.77,81.03,2741702.0,0.0,1.0,79.99,81.19,79.77,81.03,2741702.0
2018-03-06,80.79,80.97,79.72,80.94,2658735.0,0.0,1.0,80.79,80.97,79.72,80.94,2658735.0
2018-03-05,79.18,80.32,78.4,80.22,2983457.0,0.0,1.0,79.18,80.32,78.4,80.22,2983457.0
2018-03-02,79.16,80.09,78.391,79.7,3251021.0,0.0,1.0,79.16,80.09,78.391,79.7,3251021.0
2018-03-01,81.1,81.71,79.21,79.59,3527381.0,0.0,1.0,81.1,81.71,79.21,79.59,3527381.0
2018-02-28,82.16,82.51,80.68,80.7,2234369.0,0.0,1.0,82.16,82.51,80.68,80.7,2234369.0
2018-02-27,82.19,83.095,81.93,81.96,2514816.0,0.0,1.0,82.19,83.095,81.93,81.96,2514816.0
