Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,26.94,27.08,26.46,26.73,2396783.0,0.0,1.0,26.94,27.08,26.46,26.73,2396783.0
2018-03-26,26.92,27.11,26.26,26.88,2893340.0,0.0,1.0,26.92,27.11,26.26,26.88,2893340.0
2018-03-23,27.48,27.71,26.575,26.61,2910751.0,0.0,1.0,27.48,27.71,26.575,26.61,2910751.0
2018-03-22,27.82,28.06,27.34,27.36,2594297.0,0.0,1.0,27.82,28.06,27.34,27.36,2594297.0
2018-03-21,28.0,28.59,28.0,28.18,1823108.0,0.0,1.0,28.0,28.59,28.0,28.18,1823108.0
2018-03-20,28.15,28.29,27.96,28.04,1883711.0,0.0,1.0,28.15,28.29,27.96,28.04,1883711.0
2018-03-19,28.52,28.6,27.84,28.08,1990600.0,0.0,1.0,28.52,28.6,27.84,28.08,1990600.0
2018-03-16,28.04,28.59,28.01,28.51,4001019.0,0.0,1.0,28.04,28.59,28.01,28.51,4001019.0
2018-03-15,28.03,28.3,27.82,28.03,2086489.0,0.0,1.0,28.03,28.3,27.82,28.03,2086489.0
2018-03-14,28.46,28.59,27.98,28.04,2155384.0,0.0,1.0,28.46,28.59,27.98,28.04,2155384.0
2018-03-13,29.0,29.07,28.25,28.35,3011588.0,0.0,1.0,29.0,29.07,28.25,28.35,3011588.0
2018-03-12,28.79,29.19,28.7,28.89,1997420.0,0.0,1.0,28.79,29.19,28.7,28.89,1997420.0
2018-03-09,28.62,29.04,28.5,28.75,2337109.0,0.0,1.0,28.62,29.04,28.5,28.75,2337109.0
2018-03-08,28.46,28.75,28.3248,28.46,2249175.0,0.0,1.0,28.46,28.75,28.3248,28.46,2249175.0
2018-03-07,28.06,28.4,28.0,28.31,2337731.0,0.0,1.0,28.06,28.4,28.0,28.31,2337731.0
