Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,18.39,18.58,18.2,18.33,4681666.0,0.0,1.0,18.39,18.58,18.2,18.33,4681666.0
2018-03-26,18.16,18.46,18.09,18.39,4110995.0,0.0,1.0,18.16,18.46,18.09,18.39,4110995.0
2018-03-23,18.45,18.46,17.935,17.98,4467262.0,0.0,1.0,18.45,18.46,17.935,17.98,4467262.0
2018-03-22,18.65,18.8,18.4,18.4,5481857.0,0.0,1.0,18.65,18.8,18.4,18.4,5481857.0
2018-03-21,18.9,18.96,18.66,18.75,4487570.0,0.0,1.0,18.9,18.96,18.66,18.75,4487570.0
2018-03-20,18.99,19.125,18.85,18.92,4239746.0,0.0,1.0,18.99,19.125,18.85,18.92,4239746.0
2018-03-19,19.13,19.145,18.76,18.94,4244117.0,0.0,1.0,19.13,19.145,18.76,18.94,4244117.0
2018-03-16,19.08,19.225,18.93,19.18,6037259.0,0.0,1.0,19.08,19.225,18.93,19.18,6037259.0
2018-03-15,18.96,19.07,18.81,19.05,6008682.0,0.0,1.0,18.96,19.07,18.81,19.05,6008682.0
2018-03-14,18.78,19.05,18.76,18.92,7986314.0,0.0,1.0,18.78,19.05,18.76,18.92,7986314.0
2018-03-13,18.8,18.92,18.65,18.7,6579168.0,0.0,1.0,18.8,18.92,18.65,18.7,6579168.0
2018-03-12,18.86,18.9,18.68,18.73,8214687.0,0.0,1.0,18.86,18.9,18.68,18.73,8214687.0
2018-03-09,18.74,18.91,18.61,18.91,4854544.0,0.0,1.0,18.74,18.91,18.61,18.91,4854544.0
2018-03-08,18.58,18.63,18.38,18.61,5570651.0,0.0,1.0,18.58,18.63,18.38,18.61,5570651.0
2018-03-07,18.1,18.64,18.08,18.54,8599688.0,0.0,1.0,18.1,18.64,18.08,18.54,8599688.0
2018-03-06,18.13,18.3,18.045,18.2,10785968.0,0.0,1.0,18.13,18.3,18.045,18.2,10785968.0
2018-03-05,18.25,18.35,18.02,18.12,15680922.0,0.0,1.0,18.25,18.35,18.02,18.12,15680922.0
2018-03-02,18.3,18.5,17.98,18.44,9953206.0,0.0,1.0,18.3,18.5,17.98,18.44,9953206.0
2018-03-01,18.51,18.74,18.23,18.41,8839260.0,0.0,1.0,18.51,18.74,18.23,18.41,8839260.0
2018-02-28,18.54,18.91,18.5,18.56,11515337.0,0.0,1.0,18.54,18.91,18.5,18.56,11515337.0
2018-02-27,19.06,19.08,18.47,18.49,8070265.0,0.0,1.0,19.06,19.08,18.47,18.49,8070265.0
2018-02-26,19.25,19.38,18.98,19.0,5479064.0,0.0,1.0,19.25,19.38,18.98,19.0,5479064.0
2018-02-23,19.2,19.285,19.06,19.21,6510223.0,0.0,1.0,19.2,19.285,19.06,19.21,6510223.0
2018-02-22,18.8,19.5499,18.5,19.11,12577331.0,0.0,1.0,18.8,19.5499,18.5,19.11,12577331.0
2018-02-21,19.3,19.57,19.18,19.22,7825489.0,0.0,1.0,19.3,19.57,19.18,19.22,7825489.0
2018-02-20,19.8,19.96,19.5,19.51,5870580.0,0.0,1.0,19.8,19.96,19.5,19.51,5870580.0
2018-02-16,19.59,19.94,19.52,19.88,6942374.0,0.0,1.0,19.59,19.94,19.52,19.88,6942374.0
