Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,20.01,20.05,19.065,19.27,11416891.0,0.0,1.0,20.01,20.05,19.065,19.27,11416891.0
2018-03-26,19.52,19.98,19.35,19.93,9839567.0,0.0,1.0,19.52,19.98,19.35,19.93,9839567.0
2018-03-23,20.01,20.19,19.0,19.04,15043692.0,0.0,1.0,20.01,20.19,19.0,19.04,15043692.0
2018-03-22,20.66,20.785,19.97,20.02,8531931.0,0.0,1.0,20.66,20.785,19.97,20.02,8531931.0
2018-03-21,20.94,21.23,20.76,20.97,6678959.0,0.0,1.0,20.94,21.23,20.76,20.97,6678959.0
2018-03-20,20.96,21.09,20.855,20.93,5438957.0,0.0,1.0,20.96,21.09,20.855,20.93,5438957.0
2018-03-19,20.99,21.06,20.68,20.92,7861474.0,0.0,1.0,20.99,21.06,20.68,20.92,7861474.0
2018-03-16,20.98,21.125,20.8432,20.96,14661376.0,0.0,1.0,20.98,21.125,20.8432,20.96,14661376.0
2018-03-15,21.03,21.09,20.82,20.91,6295508.0,0.0,1.0,21.03,21.09,20.82,20.91,6295508.0
2018-03-14,21.46,21.51,20.87,20.92,12718432.0,0.0,1.0,21.46,21.51,20.87,20.92,12718432.0
2018-03-13,21.88,21.92,21.28,21.36,13018174.0,0.0,1.0,21.88,21.92,21.28,21.36,13018174.0
2018-03-12,22.14,22.4,21.775,21.8,9781249.0,0.0,1.0,22.14,22.4,21.775,21.8,9781249.0
2018-03-09,22.03,22.15,21.84,22.15,7129933.0,0.0,1.0,22.03,22.15,21.84,22.15,7129933.0
2018-03-08,22.02,22.105,21.46,21.81,9405549.0,0.0,1.0,22.02,22.105,21.46,21.81,9405549.0
2018-03-07,21.51,22.06,21.47,21.97,9252943.0,0.0,1.0,21.51,22.06,21.47,21.97,9252943.0
2018-03-06,21.56,21.73,21.18,21.7,8528473.0,0.0,1.0,21.56,21.73,21.18,21.7,8528473.0
