Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,89.0,89.0,85.51,85.96,10887964.0,0.0,1.0,89.0,89.0,85.51,85.96,10887964.0
2018-03-26,88.36,90.33,87.65,89.3,13626562.0,0.0,1.0,88.36,90.33,87.65,89.3,13626562.0
2018-03-23,85.94,86.65,83.74,83.77,7317970.0,0.0,1.0,85.94,86.65,83.74,83.77,7317970.0
2018-03-22,86.5,87.27,85.65,85.7,11768440.0,0.0,1.0,86.5,87.27,85.65,85.7,11768440.0
2018-03-21,85.89,87.98,85.67,87.25,6807532.0,0.0,1.0,85.89,87.98,85.67,87.25,6807532.0
2018-03-20,86.19,86.45,85.0694,85.73,4742549.0,0.0,1.0,86.19,86.45,85.0694,85.73,4742549.0
2018-03-19,86.61,87.02,85.3,85.79,6677698.0,0.0,1.0,86.61,87.02,85.3,85.79,6677698.0
2018-03-16,85.53,87.34,85.53,87.0,8405345.0,0.0,1.0,85.53,87.34,85.53,87.0,8405345.0
2018-03-15,86.55,86.65,85.29,85.54,4724736.0,0.0,1.0,86.55,86.65,85.29,85.54,4724736.0
2018-03-14,86.74,86.92,85.26,86.38,6998975.0,0.0,1.0,86.74,86.92,85.26,86.38,6998975.0
2018-03-13,87.73,88.02,85.9,86.14,5746607.0,0.0,1.0,87.73,88.02,85.9,86.14,5746607.0
2018-03-12,87.25,88.06,87.01,87.68,5781152.0,0.0,1.0,87.25,88.06,87.01,87.68,5781152.0
2018-03-09,86.75,87.33,86.23,87.28,6254570.0,0.0,1.0,86.75,87.33,86.23,87.28,6254570.0
2018-03-08,86.44,86.81,85.46,86.16,4570315.0,0.0,1.0,86.44,86.81,85.46,86.16,4570315.0
2018-03-07,86.49,86.81,85.51,86.11,6417074.0,0.0,1.0,86.49,86.81,85.51,86.11,6417074.0
2018-03-06,86.5,87.2,86.29,87.12,6350091.0,0.0,1.0,86.5,87.2,86.29,87.12,6350091.0
2018-03-05,85.06,87.02,85.05,86.33,8324617.0,0.0,1.0,85.06,87.02,85.05,86.33,8324617.0
2018-03-02,86.88,87.34,85.08,85.34,12476807.0,0.0,1.0,86.88,87.34,85.08,85.34,12476807.0
2018-03-01,89.57,89.7,87.11,87.96,15153351.0,0.0,1.0,89.57,89.7,87.11,87.96,15153351.0
2018-02-28,87.4,92.2199,86.75,89.59,34003780.0,0.0,1.0,87.4,92.2199,86.75,89.59,34003780.0
2018-02-27,97.62,98.4066,95.48100000000001,95.79,8436848.0,0.0,1.0,97.62,98.4066,95.48100000000001,95.79,8436848.0
2018-02-26,97.92,97.98,96.705,97.51,4725629.0,0.0,1.0,97.92,97.98,96.705,97.51,4725629.0
2018-02-23,97.33,97.62,96.62,97.49,4289339.0,0.0,1.0,97.33,97.62,96.62,97.49,4289339.0
2018-02-22,96.02,97.18,95.73,96.89,4358735.0,0.0,1.0,96.02,97.18,95.73,96.89,4358735.0
2018-02-21,96.0,97.1983,95.22,95.34,4237678.0,0.0,1.0,96.0,97.1983,95.22,95.34,4237678.0
2018-02-20,96.55,97.68,95.43,95.65,6348974.0,0.0,1.0,96.55,97.68,95.43,95.65,6348974.0
2018-02-16,96.48,97.665,95.785,96.31,5313023.0,0.0,1.0,96.48,97.665,95.785,96.31,5313023.0
2018-02-15,98.18,98.19,95.62,96.51,5695894.0,0.0,1.0,98.18,98.19,95.62,96.51,5695894.0
2018-02-14,95.09,97.4,94.4,96.93,6122739.0,0.0,1.0,95.09,97.4,94.4,96.93,6122739.0
2018-02-13,96.96,97.61,94.87,96.06,5536553.0,0.0,1.0,96.96,97.61,94.87,96.06,5536553.0
2018-02-12,98.25,99.0,97.17,97.78,7949599.0,0.0,1.0,98.25,99.0,97.17,97.78,7949599.0
2018-02-09,96.19,98.16,92.51,97.17,9647346.0,0.0,1.0,96.19,98.16,92.51,97.17,9647346.0
2018-02-08,99.92,100.11,94.89,95.01,7508035.0,0.0,1.0,99.92,100.11,94.89,95.01,7508035.0
2018-02-07,100.0,102.32,99.745,99.92,5236094.0,0.0,1.0,100.0,102.32,99.745,99.92,5236094.0
2018-02-06,95.29,100.915,94.81,100.22,9012801.0,0.0,1.0,95.29,100.915,94.81,100.22,9012801.0
2018-02-05,101.38,103.11,97.04,97.58,8226192.0,0.0,1.0,101.38,103.11,97.04,97.58,8226192.0
2018-02-02,103.85,103.86,101.15,101.5,6225836.0,0.0,1.0,103.85,103.86,101.15,101.5,6225836.0
2018-02-01,103.84,105.08,103.25,103.86,4917902.0,0.0,1.0,103.84,105.08,103.25,103.86,4917902.0
2018-01-31,105.67,106.2,104.54,104.73,7008097.0,0.0,1.0,105.67,106.2,104.54,104.73,7008097.0
2018-01-30,105.71,106.14,104.63,105.18,6318284.0,0.0,1.0,105.71,106.14,104.63,105.18,6318284.0
2018-01-29,108.0,108.38,106.68,106.84,3709513.0,0.0,1.0,108.0,108.38,106.68,106.84,3709513.0
2018-01-26,106.64,107.4,105.53,107.4,3911962.0,0.0,1.0,106.64,107.4,105.53,107.4,3911962.0
2018-01-25,108.94,108.98,106.11,106.38,4604841.0,0.0,1.0,108.94,108.98,106.11,106.38,4604841.0
2018-01-24,107.39,107.6407,105.9,106.72,3931423.0,0.0,1.0,107.39,107.6407,105.9,106.72,3931423.0
2018-01-23,107.0,108.31,106.15,107.11,6085878.0,0.0,1.0,107.0,108.31,106.15,107.11,6085878.0
2018-01-22,107.0,107.38,105.35,107.11,6699504.0,0.0,1.0,107.0,107.38,105.35,107.11,6699504.0
