Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.26,61.81,59.78,60.23,2668159.0,0.0,1.0,61.26,61.81,59.78,60.23,2668159.0
2018-03-26,60.45,60.94,59.29,60.6,2099084.0,0.0,1.0,60.45,60.94,59.29,60.6,2099084.0
2018-03-23,61.36,61.54,59.3,59.44,3146203.0,0.0,1.0,61.36,61.54,59.3,59.44,3146203.0
2018-03-22,64.61,64.61,61.04,61.09,3585350.0,0.0,1.0,64.61,64.61,61.04,61.09,3585350.0
2018-03-21,64.5,65.74,64.39,65.35,2525452.0,0.0,1.0,64.5,65.74,64.39,65.35,2525452.0
2018-03-20,65.53,66.0797,64.17,64.2,2912137.0,0.0,1.0,65.53,66.0797,64.17,64.2,2912137.0
2018-03-19,66.47,66.56,64.7,65.33,1965435.0,0.0,1.0,66.47,66.56,64.7,65.33,1965435.0
2018-03-16,66.19,67.36,65.69,66.59,3010361.0,0.0,1.0,66.19,67.36,65.69,66.59,3010361.0
2018-03-15,66.13,66.97,66.0,66.18,1569387.0,0.0,1.0,66.13,66.97,66.0,66.18,1569387.0
2018-03-14,67.99,68.12,65.86,66.0,2253928.0,0.0,1.0,67.99,68.12,65.86,66.0,2253928.0
2018-03-13,67.79,68.97,67.28,67.53,2140333.0,0.0,1.0,67.79,68.97,67.28,67.53,2140333.0
2018-03-12,66.98,67.93,66.98,67.69,1625885.0,0.0,1.0,66.98,67.93,66.98,67.69,1625885.0
2018-03-09,68.27,68.73,66.62,67.16,3152504.0,0.0,1.0,68.27,68.73,66.62,67.16,3152504.0
2018-03-08,69.43,69.43,67.0,67.63,3167090.0,0.0,1.0,69.43,69.43,67.0,67.63,3167090.0
2018-03-07,67.71,69.79,67.71,69.48,3745147.0,0.0,1.0,67.71,69.79,67.71,69.48,3745147.0
2018-03-06,68.1,68.39,66.7,67.78,3093914.0,0.0,1.0,68.1,68.39,66.7,67.78,3093914.0
2018-03-05,67.31,69.12,67.25,67.86,3345146.0,0.0,1.0,67.31,69.12,67.25,67.86,3345146.0
2018-03-02,67.18,68.15,65.96,67.88,3876986.0,0.0,1.0,67.18,68.15,65.96,67.88,3876986.0
2018-03-01,66.49,68.27,66.0,67.53,5096255.0,0.0,1.0,66.49,68.27,66.0,67.53,5096255.0
2018-02-28,67.63,67.7699,65.39,65.4,2595242.0,0.0,1.0,67.63,67.7699,65.39,65.4,2595242.0
2018-02-27,67.62,68.45,67.27,67.29,1711789.0,0.0,1.0,67.62,68.45,67.27,67.29,1711789.0
2018-02-26,68.04,68.445,66.95,67.88,1703933.0,0.0,1.0,68.04,68.445,66.95,67.88,1703933.0
2018-02-23,67.23,67.43,66.14,66.94,1277273.0,0.0,1.0,67.23,67.43,66.14,66.94,1277273.0
2018-02-22,67.38,67.92,66.8,66.95,2591582.0,0.0,1.0,67.38,67.92,66.8,66.95,2591582.0
2018-02-21,67.56,68.2128,66.85,66.85,1618484.0,0.0,1.0,67.56,68.2128,66.85,66.85,1618484.0
2018-02-20,68.03,69.1183,67.09,67.56,3385704.0,0.0,1.0,68.03,69.1183,67.09,67.56,3385704.0
2018-02-16,65.38,69.5,64.9,68.54,5274946.0,0.0,1.0,65.38,69.5,64.9,68.54,5274946.0
2018-02-15,65.86,66.0,64.59,65.58,2524130.0,0.0,1.0,65.86,66.0,64.59,65.58,2524130.0
2018-02-14,63.33,65.38,63.33,65.19,3074556.0,0.0,1.0,63.33,65.38,63.33,65.19,3074556.0
2018-02-13,63.21,64.53,62.72,64.08,3181217.0,0.0,1.0,63.21,64.53,62.72,64.08,3181217.0
2018-02-12,62.25,64.03,61.94,63.44,2797746.0,0.0,1.0,62.25,64.03,61.94,63.44,2797746.0
2018-02-09,61.68,62.27,59.5,61.77,3285290.0,0.0,1.0,61.68,62.27,59.5,61.77,3285290.0
2018-02-08,63.04,63.075,60.38,60.38,3356612.0,0.0,1.0,63.04,63.075,60.38,60.38,3356612.0
2018-02-07,63.41,64.1891,62.92,62.92,3150995.0,0.0,1.0,63.41,64.1891,62.92,62.92,3150995.0
2018-02-06,61.04,63.83,60.31,63.6,5612128.0,0.0,1.0,61.04,63.83,60.31,63.6,5612128.0
2018-02-05,63.6,64.81,61.85,62.54,4161182.0,0.0,1.0,63.6,64.81,61.85,62.54,4161182.0
2018-02-02,65.8,65.88,64.08,64.24,3693558.0,0.0,1.0,65.8,65.88,64.08,64.24,3693558.0
2018-02-01,66.65,67.1,65.9,66.38,3200825.0,0.0,1.0,66.65,67.1,65.9,66.38,3200825.0
2018-01-31,67.93,67.99,66.34,66.96,4751587.0,0.0,1.0,67.93,67.99,66.34,66.96,4751587.0
2018-01-30,69.605,70.03,66.0,66.82,4352197.0,0.0,1.0,69.605,70.03,66.0,66.82,4352197.0
2018-01-29,69.46,69.98,68.97,69.04,2419303.0,0.0,1.0,69.46,69.98,68.97,69.04,2419303.0
2018-01-26,68.4,69.55,68.09,69.54,2713196.0,0.0,1.0,68.4,69.55,68.09,69.54,2713196.0
2018-01-25,69.71,69.76,67.99,68.24,3857396.0,0.0,1.0,69.71,69.76,67.99,68.24,3857396.0
2018-01-24,69.47,69.91,68.86,69.01,1856837.0,0.0,1.0,69.47,69.91,68.86,69.01,1856837.0
2018-01-23,68.69,69.68,67.7,68.98,2775370.0,0.0,1.0,68.69,69.68,67.7,68.98,2775370.0
2018-01-22,68.87,69.1,68.18,68.99,2297401.0,0.0,1.0,68.87,69.1,68.18,68.99,2297401.0
2018-01-19,69.19,69.23,68.21,68.72,3215121.0,0.0,1.0,69.19,69.23,68.21,68.72,3215121.0
