Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,76.5,76.645,74.86,75.52,952766.0,0.0,1.0,76.5,76.645,74.86,75.52,952766.0
2018-03-26,75.16,76.42,74.1025,76.28,842168.0,0.0,1.0,75.16,76.42,74.1025,76.28,842168.0
2018-03-23,75.34,76.08,73.81,73.96,1140017.0,0.0,1.0,75.34,76.08,73.81,73.96,1140017.0
2018-03-22,76.37,76.86,74.98,75.24,600911.0,0.0,1.0,76.37,76.86,74.98,75.24,600911.0
2018-03-21,77.84,78.41,77.095,77.2,398545.0,0.0,1.0,77.84,78.41,77.095,77.2,398545.0
2018-03-20,77.05,77.91,76.9,77.67,459174.0,0.0,1.0,77.05,77.91,76.9,77.67,459174.0
2018-03-19,77.29,77.52,76.05,76.89,556096.0,0.0,1.0,77.29,77.52,76.05,76.89,556096.0
2018-03-16,77.63,78.34,77.29,77.34,1006960.0,0.0,1.0,77.63,78.34,77.29,77.34,1006960.0
2018-03-15,77.15,77.98,76.95,77.6,455825.0,0.0,1.0,77.15,77.98,76.95,77.6,455825.0
2018-03-14,78.3,78.78,76.8,77.09,447176.0,0.0,1.0,78.3,78.78,76.8,77.09,447176.0
2018-03-13,79.27,79.34,77.85,78.08,362064.0,0.0,1.0,79.27,79.34,77.85,78.08,362064.0
2018-03-12,79.33,79.82,78.51,78.78,604831.0,0.0,1.0,79.33,79.82,78.51,78.78,604831.0
2018-03-09,77.62,79.27,77.29,79.22,675996.0,0.0,1.0,77.62,79.27,77.29,79.22,675996.0
2018-03-08,77.09,77.37,76.23,77.2,568117.0,0.0,1.0,77.09,77.37,76.23,77.2,568117.0
2018-03-07,74.84,77.165,74.84,77.0,590072.0,0.0,1.0,74.84,77.165,74.84,77.0,590072.0
2018-03-06,74.62,75.64,74.48,75.61,632288.0,0.0,1.0,74.62,75.64,74.48,75.61,632288.0
2018-03-05,74.07,74.76,73.06,74.51,728621.0,0.0,1.0,74.07,74.76,73.06,74.51,728621.0
2018-03-02,73.69,74.9,73.4,74.73,562198.0,0.0,1.0,73.69,74.9,73.4,74.73,562198.0
2018-03-01,76.37,76.535,73.63,74.27,644705.0,0.0,1.0,76.37,76.535,73.63,74.27,644705.0
2018-02-28,77.11,77.96,76.29,76.34,492579.0,0.0,1.0,77.11,77.96,76.29,76.34,492579.0
2018-02-27,77.67,77.93,76.88,76.95,743600.0,0.0,1.0,77.67,77.93,76.88,76.95,743600.0
2018-02-26,77.31,78.08,77.11,77.87,569849.0,0.0,1.0,77.31,78.08,77.11,77.87,569849.0
2018-02-23,76.23,77.08,75.37,77.02,369790.0,0.0,1.0,76.23,77.08,75.37,77.02,369790.0
2018-02-22,76.66,76.76,75.64,75.96,611046.0,0.0,1.0,76.66,76.76,75.64,75.96,611046.0
2018-02-21,75.82,77.74,75.73,76.18,564813.0,0.0,1.0,75.82,77.74,75.73,76.18,564813.0
2018-02-20,76.18,76.73,75.45,75.87,744889.0,0.0,1.0,76.18,76.73,75.45,75.87,744889.0
2018-02-16,76.24,76.98,76.1,76.39,497454.0,0.0,1.0,76.24,76.98,76.1,76.39,497454.0
2018-02-15,76.26,76.7,75.44,76.43,603908.0,0.0,1.0,76.26,76.7,75.44,76.43,603908.0
2018-02-14,73.65,75.56,73.65,75.46,560330.0,0.0,1.0,73.65,75.56,73.65,75.46,560330.0
2018-02-13,74.12,74.32,73.7,74.22,516099.0,0.0,1.0,74.12,74.32,73.7,74.22,516099.0
2018-02-12,73.71,74.98,72.79,74.5,947052.0,0.0,1.0,73.71,74.98,72.79,74.5,947052.0
2018-02-09,73.17,73.66,70.74,72.83,1211370.0,0.0,1.0,73.17,73.66,70.74,72.83,1211370.0
2018-02-08,75.44,75.735,72.0,72.06,1108410.0,0.0,1.0,75.44,75.735,72.0,72.06,1108410.0
2018-02-07,75.41,76.78,75.02,75.77,1114215.0,0.0,1.0,75.41,76.78,75.02,75.77,1114215.0
2018-02-06,73.25,76.57,73.0,76.0,1611260.0,0.0,1.0,73.25,76.57,73.0,76.0,1611260.0
2018-02-05,77.39,78.26,74.78,74.78,988004.0,0.0,1.0,77.39,78.26,74.78,74.78,988004.0
2018-02-02,79.44,79.8,78.06,78.08,620603.0,0.0,1.0,79.44,79.8,78.06,78.08,620603.0
2018-02-01,79.87,80.26,78.83,80.02,715722.0,0.0,1.0,79.87,80.26,78.83,80.02,715722.0
2018-01-31,81.62,82.2,79.85,80.16,576446.0,0.0,1.0,81.62,82.2,79.85,80.16,576446.0
2018-01-30,81.31,81.72,80.86,81.05,772081.0,0.0,1.0,81.31,81.72,80.86,81.05,772081.0
2018-01-29,82.36,82.84,81.375,82.18,911827.0,0.0,1.0,82.36,82.84,81.375,82.18,911827.0
2018-01-26,83.66,84.49,81.65,82.75,1489684.0,0.0,1.0,83.66,84.49,81.65,82.75,1489684.0
2018-01-25,81.95,83.57,81.95,82.75,1152529.0,0.0,1.0,81.95,83.57,81.95,82.75,1152529.0
2018-01-24,81.68,82.24,81.05,81.42,705011.0,0.0,1.0,81.68,82.24,81.05,81.42,705011.0
2018-01-23,81.4,82.02,81.09,81.43,715487.0,0.0,1.0,81.4,82.02,81.09,81.43,715487.0
2018-01-22,81.07,81.3,80.335,81.2,531843.0,0.0,1.0,81.07,81.3,80.335,81.2,531843.0
2018-01-19,80.0,80.9,79.83,80.86,499373.0,0.0,1.0,80.0,80.9,79.83,80.86,499373.0
2018-01-18,79.49,79.89,78.63,79.54,584416.0,0.0,1.0,79.49,79.89,78.63,79.54,584416.0
2018-01-17,79.14,79.795,78.49,79.65,571784.0,0.0,1.0,79.14,79.795,78.49,79.65,571784.0
2018-01-16,79.24,79.75,78.17,78.53,529697.0,0.0,1.0,79.24,79.75,78.17,78.53,529697.0
2018-01-12,77.55,79.02,77.35,78.89,436291.0,0.0,1.0,77.55,79.02,77.35,78.89,436291.0
2018-01-11,77.24,77.67,76.79,77.62,275770.0,0.0,1.0,77.24,77.67,76.79,77.62,275770.0
2018-01-10,77.48,77.77,76.52,77.14,461009.0,0.0,1.0,77.48,77.77,76.52,77.14,461009.0
2018-01-09,77.1,78.19,76.91,77.9,398376.0,0.0,1.0,77.1,78.19,76.91,77.9,398376.0
2018-01-08,76.75,76.82,76.065,76.77,700092.0,0.0,1.0,76.75,76.82,76.065,76.77,700092.0
2018-01-05,76.48,77.01,76.02,76.94,554459.0,0.0,1.0,76.48,77.01,76.02,76.94,554459.0
2018-01-04,76.1,76.555,75.44,76.36,818510.0,0.0,1.0,76.1,76.555,75.44,76.36,818510.0
2018-01-03,74.15,76.2,73.885,76.16,578694.0,0.0,1.0,74.15,76.2,73.885,76.16,578694.0
2018-01-02,73.71,73.94,73.265,73.91,766694.0,0.0,1.0,73.71,73.94,73.265,73.91,766694.0
2017-12-29,73.7,73.7,73.1,73.12,331798.0,0.0,1.0,73.7,73.7,73.1,73.12,331798.0
2017-12-28,73.2,73.47,72.83,73.42,205259.0,0.0,1.0,73.2,73.47,72.83,73.42,205259.0
2017-12-27,73.16,73.26,73.0,73.09,552019.0,0.0,1.0,73.16,73.26,73.0,73.09,552019.0
2017-12-26,73.07,73.22,72.58,73.05,207583.0,0.0,1.0,73.07,73.22,72.58,73.05,207583.0
2017-12-22,72.98,73.29,72.56,73.05,494314.0,0.0,1.0,72.98,73.29,72.56,73.05,494314.0
2017-12-21,73.96,74.0,73.08,73.28,499120.0,0.0,1.0,73.96,74.0,73.08,73.28,499120.0
2017-12-20,73.59,74.05,73.24,73.65,494772.0,0.0,1.0,73.59,74.05,73.24,73.65,494772.0
2017-12-19,73.64,74.12,73.35,73.84,546177.0,0.0,1.0,73.64,74.12,73.35,73.84,546177.0
2017-12-18,72.72,73.24,72.31,73.16,531026.0,0.0,1.0,72.72,73.24,72.31,73.16,531026.0
2017-12-15,71.54,72.39,71.22,72.13,1063783.0,0.0,1.0,71.54,72.39,71.22,72.13,1063783.0
2017-12-14,71.37,71.71,70.44,70.83,700333.0,0.0,1.0,71.37,71.71,70.44,70.83,700333.0
2017-12-13,71.42,71.95,71.235,71.31,622454.0,0.0,1.0,71.42,71.95,71.235,71.31,622454.0
2017-12-12,70.84,71.2,70.62,71.12,546808.0,0.0,1.0,70.84,71.2,70.62,71.12,546808.0
2017-12-11,71.01,71.43,70.38,70.81,389501.0,0.0,1.0,71.01,71.43,70.38,70.81,389501.0
2017-12-08,70.28,71.31,70.15,71.03,739669.0,0.0,1.0,70.28,71.31,70.15,71.03,739669.0
2017-12-07,69.66,70.46,69.31,70.11,693161.0,0.0,1.0,69.66,70.46,69.31,70.11,693161.0
2017-12-06,69.46,69.7,69.21,69.54,594046.0,0.0,1.0,69.46,69.7,69.21,69.54,594046.0
2017-12-05,70.03,70.56,69.22,69.36,652257.0,0.0,1.0,70.03,70.56,69.22,69.36,652257.0
2017-12-04,73.3,73.3,69.78,69.78,879547.0,0.0,1.0,73.3,73.3,69.78,69.78,879547.0
2017-12-01,73.62,73.86,71.86,73.12,465375.0,0.0,1.0,73.62,73.86,71.86,73.12,465375.0
2017-11-30,73.52,73.98,73.06,73.68,947127.0,0.0,1.0,73.52,73.98,73.06,73.68,947127.0
2017-11-29,73.8,74.11,73.01,73.18,497278.0,0.0,1.0,73.8,74.11,73.01,73.18,497278.0
2017-11-28,73.86,73.96,73.17,73.8,453672.0,0.0,1.0,73.86,73.96,73.17,73.8,453672.0
2017-11-27,73.16,73.74,73.07,73.56,462028.0,0.0,1.0,73.16,73.74,73.07,73.56,462028.0
2017-11-24,73.26,73.37,73.0,73.36,248426.0,0.0,1.0,73.26,73.37,73.0,73.36,248426.0
2017-11-22,73.29,73.307,72.85,73.04,325740.0,0.0,1.0,73.29,73.307,72.85,73.04,325740.0
2017-11-21,72.84,73.4299,72.58,73.26,431820.0,0.0,1.0,72.84,73.4299,72.58,73.26,431820.0
2017-11-20,72.27,72.79,72.175,72.75,555898.0,0.0,1.0,72.27,72.79,72.175,72.75,555898.0
2017-11-17,72.05,72.46,71.68,72.31,611665.0,0.0,1.0,72.05,72.46,71.68,72.31,611665.0
2017-11-16,71.33,72.46,71.05,72.3,466678.0,0.0,1.0,71.33,72.46,71.05,72.3,466678.0
2017-11-15,71.49,71.68,70.87,71.13,412524.0,0.0,1.0,71.49,71.68,70.87,71.13,412524.0
2017-11-14,71.01,71.66,70.86,71.61,636554.0,0.0,1.0,71.01,71.66,70.86,71.61,636554.0
2017-11-13,70.95,71.5,70.82,71.27,485841.0,0.0,1.0,70.95,71.5,70.82,71.27,485841.0
2017-11-10,71.3,71.49,71.15,71.33,1027649.0,0.0,1.0,71.3,71.49,71.15,71.33,1027649.0
2017-11-09,70.89,71.52,70.67,71.46,523801.0,0.0,1.0,70.89,71.52,70.67,71.46,523801.0
2017-11-07,70.69,71.16,70.38,71.13,971420.0,0.0,1.0,70.69,71.16,70.38,71.13,971420.0
2017-11-06,70.51,70.93,70.1,70.55,761448.0,0.0,1.0,70.51,70.93,70.1,70.55,761448.0
2017-11-03,72.07,72.28,70.37,70.62,863653.0,0.0,1.0,72.07,72.28,70.37,70.62,863653.0
2017-11-02,71.99,72.62,71.82,72.07,694768.0,0.0,1.0,71.99,72.62,71.82,72.07,694768.0
2017-11-01,72.75,73.05,72.27,72.27,518996.0,0.0,1.0,72.75,73.05,72.27,72.27,518996.0
2017-10-31,71.96,72.62,71.79,72.32,606333.0,0.0,1.0,71.96,72.62,71.79,72.32,606333.0
2017-10-30,72.4,72.82,71.595,71.83,505465.0,0.0,1.0,72.4,72.82,71.595,71.83,505465.0
2017-10-27,72.21,72.77,71.47,72.72,583390.0,0.0,1.0,72.21,72.77,71.47,72.72,583390.0
2017-10-26,71.47,72.25,71.05,72.1,613761.0,0.0,1.0,71.47,72.25,71.05,72.1,613761.0
2017-10-25,71.92,72.27,70.99,71.43,320902.0,0.0,1.0,71.92,72.27,70.99,71.43,320902.0
2017-10-24,71.92,71.93,71.11,71.61,612337.0,0.0,1.0,71.92,71.93,71.11,71.61,612337.0
2017-10-23,71.73,71.91,71.385,71.64,525684.0,0.0,1.0,71.73,71.91,71.385,71.64,525684.0
2017-10-20,71.59,71.935,71.32,71.73,461603.0,0.0,1.0,71.59,71.935,71.32,71.73,461603.0
2017-10-19,69.98,71.37,69.98,71.32,423283.0,0.07,1.0,69.98,71.37,69.98,71.32,423283.0
2017-10-18,70.7,70.77,70.14,70.19,556947.0,0.0,1.0,70.630676565345,70.700607928281,70.071225661857,70.121176635383,556947.0
2017-10-17,71.13,71.25,69.74,70.41,527778.0,0.0,1.0,71.060254937666,71.180137274128,69.671617873652,70.340960918896,527778.0
2017-10-16,71.63,71.785,71.14,71.25,404298.0,0.0,1.0,71.55976467292301,71.714612690853,71.070245132371,71.180137274128,404298.0
2017-10-13,71.93,72.11,71.17,71.39,410154.0,0.0,1.0,71.859470514078,72.03929401877,71.100215716487,71.32,410154.0
2017-10-12,71.54,72.0,71.33,71.81,700926.0,0.0,1.0,71.469852920577,71.929401877014,71.260058831769,71.739588177616,700926.0
2017-10-11,70.84,71.81,70.84,71.5,1041526.0,0.0,1.0,70.770539291217,71.739588177616,70.770539291217,71.42989214175701,1041526.0
2017-10-10,70.68,70.99,70.395,70.88,351077.0,0.0,1.0,70.610696175935,70.92039221179401,70.325975626838,70.810500070038,351077.0
2017-10-09,70.64,70.85,70.35,70.62,723274.0,0.0,1.0,70.570735397114,70.780529485922,70.281019750665,70.550755007704,723274.0
2017-10-06,70.15,70.61,70.07,70.61,300591.0,0.07,1.0,70.08121585656299,70.540764812999,70.00129429892101,70.540764812999,300591.0
2017-10-05,70.4,70.59,70.06,70.44,395225.0,0.0,1.0,70.261316395517,70.45094210738002,69.921986174289,70.301237598014,395225.0
2017-10-04,70.1,70.27,69.86,70.2,595391.0,0.0,1.0,69.961907376786,70.13157248739999,69.722380161801,70.06171038303,595391.0
2017-10-03,69.81,70.15,69.35,70.08,592917.0,0.0,1.0,69.672478658679,70.011808879908,69.213384829959,69.941946775537,592917.0
2017-10-02,69.2,69.76,69.05,69.47,577393.0,0.0,1.0,69.06368032059301,69.622577155558,68.913975811228,69.333148437451,577393.0
2017-09-29,68.26,69.15,68.07,68.97,430834.0,0.0,1.0,68.125532061903,69.01377881747099,67.93590635004,68.834133406233,430834.0
2017-09-28,68.32,68.55,67.87,68.34,322076.0,0.0,1.0,68.18541386564901,68.41496078000999,67.73630033755299,68.20537446689801,322076.0
2017-09-27,68.18,68.68,67.835,68.46,386828.0,0.0,1.0,68.045689656908,68.544704688126,67.701369285368,68.32513807439,386828.0
2017-09-26,68.92,69.06,67.51,68.18,547257.0,0.0,1.0,68.784231903111,68.923956111852,67.377009515076,68.045689656908,547257.0
2017-09-25,68.08,68.46,67.89,68.45,336766.0,0.0,1.0,67.945886650665,68.32513807439,67.756260938802,68.315157773766,336766.0
2017-09-22,68.14,68.33,67.8,68.17,377757.0,0.0,1.0,68.005768454411,68.195394166274,67.666438233182,68.035709356284,377757.0
2017-09-21,68.9,68.9,68.1,68.2,645442.0,0.0,1.0,68.764271301862,68.764271301862,67.965847251913,68.06565025815699,645442.0
2017-09-20,69.09,69.24,68.65,68.99,540141.0,0.0,1.0,68.953897013725,69.103601523091,68.514763786253,68.854094007482,540141.0
2017-09-19,69.61,69.61,68.98,69.06,957127.0,0.0,1.0,69.472872646192,69.472872646192,68.844113706857,68.923956111852,957127.0
2017-09-18,69.3,69.56,68.92,69.48,459609.0,0.0,1.0,69.163483326837,69.42297114306999,68.784231903111,69.343128738075,459609.0
2017-09-15,68.65,69.09,68.5,69.08,1050481.0,0.0,1.0,68.514763786253,68.953897013725,68.365059276888,68.94391671310099,1050481.0
2017-09-14,68.45,68.86,68.36,68.72,934062.0,0.0,1.0,68.315157773766,68.724350099365,68.225335068147,68.584625890624,934062.0
2017-09-13,68.39,68.61,68.18,68.53,658276.0,0.0,1.0,68.25527597002,68.474842583756,68.045689656908,68.395000178761,658276.0
2017-09-12,68.43,68.66,68.22,68.56,1586320.0,0.0,1.0,68.295197172517,68.524744086878,68.085610859406,68.424941080634,1586320.0
2017-09-11,67.98,68.58,67.52,68.3,765460.0,0.0,1.0,67.846083644421,68.444901681883,67.38698981569999,68.165453264401,765460.0
2017-09-08,67.84,68.26,67.439,67.65,660682.0,0.0,1.0,67.70635943568001,68.125532061903,67.30614938064299,67.516733723817,660682.0
2017-09-07,67.83,67.8632,67.26,67.83,597883.0,0.0,1.0,67.696379135056,67.729513733128,67.127501999467,67.696379135056,597883.0
2017-09-06,67.5,67.78,67.27,67.59,543891.0,0.0,1.0,67.367029214452,67.646477631934,67.137482300091,67.456851920071,543891.0
2017-09-05,66.83,67.23,66.48,67.2,554021.0,0.0,1.0,66.698349072619,67.09756109759401,66.349038550766,67.06762019572099,554021.0
2017-09-01,67.04,67.23,66.79,66.99,746273.0,0.0,1.0,66.907935385731,67.09756109759401,66.658427870122,66.85803388260899,746273.0
2017-08-31,66.35,67.235,66.22,66.99,423556.0,0.0,1.0,66.21929464265,67.10255124790599,66.089550734533,66.85803388260899,423556.0
2017-08-30,65.87,66.38,65.82,66.19,439591.0,0.0,1.0,65.74024021268,66.249235544523,65.690338709559,66.05960983266,439591.0
2017-08-29,65.39,65.95,65.28,65.88,319334.0,0.0,1.0,65.261185782711,65.820082617675,65.151402475843,65.750220513305,319334.0
2017-08-28,65.64,66.04,65.385,65.71,316272.0,0.0,1.0,65.51069329831999,65.909905323295,65.256195632399,65.580555402691,316272.0
2017-08-25,65.4,65.63,65.22,65.35,293995.0,0.0,1.0,65.271166083335,65.500712997696,65.09152067209699,65.221264580213,293995.0
2017-08-24,65.13,65.52,64.88,65.18,294555.0,0.0,1.0,65.001697966477,65.390929690828,64.752190450868,65.051599469599,294555.0
2017-08-23,64.93,65.16,64.58,65.03,439872.0,0.0,1.0,64.80209195399,65.031638868351,64.452781432137,64.901894960234,439872.0
2017-08-22,64.35,65.09,64.175,64.94,422378.0,0.0,1.0,64.223234517777,64.96177676398001,64.048579256851,64.812072254615,422378.0
2017-08-21,63.48,64.19,63.37,64.15,536574.0,0.0,1.0,63.35494836345801,64.063549707787,63.245165056590004,64.02362850529,536574.0
2017-08-18,63.56,63.96,63.1101,63.47,401732.0,0.0,1.0,63.434790768452,63.834002793427,62.985777043362,63.344968062833004,401732.0
2017-08-17,64.54,64.82,63.6,63.66,432482.0,0.0,1.0,64.41286022964,64.692308647122,63.474711970950004,63.534593774696,432482.0
2017-08-16,64.43,64.93,64.14,64.64,513856.0,0.0,1.0,64.303076922772,64.80209195399,64.013648204666,64.512663235884,513856.0
2017-08-15,64.07,64.35,63.96,64.14,713829.0,0.0,1.0,63.943786100295,64.223234517777,63.834002793427,64.013648204666,713829.0
2017-08-14,64.46,64.66,63.79,64.0,570805.0,0.0,1.0,64.333017824645,64.532623837132,63.664337682813,63.873923995923995,570805.0
2017-08-11,62.68,64.15,62.43,63.93,497434.0,0.0,1.0,62.55652431350799,64.02362850529,62.307016797898996,63.804061891554,497434.0
2017-08-10,63.91,64.0,62.9,62.95,638023.0,0.0,1.0,63.784101290305,63.873923995923995,62.776090927244,62.825992430366,638023.0
2017-08-09,63.79,64.3,63.37,64.25,564512.0,0.0,1.0,63.664337682813,64.173333014655,63.245165056590004,64.123431511533,564512.0
2017-08-08,65.74,66.105,63.85,64.03,894905.0,0.0,1.0,65.610496304564,65.974777277353,63.724219486559,63.903864897798,894905.0
2017-08-07,64.61,66.26,64.37,65.8,884408.0,0.0,1.0,64.482722334011,66.129471937031,64.243195119026,65.67037810830999,884408.0
2017-08-04,66.0,66.0,63.03,64.29,1510742.0,0.0,1.0,65.869984120797,65.869984120797,62.905834835361006,64.163352714031,1510742.0
2017-08-03,66.63,66.74,65.98,66.35,724134.0,0.0,1.0,66.498743060132,66.608526367,65.850023519548,66.21929464265,724134.0
2017-08-02,66.55,66.85,66.25,66.72,467592.0,0.0,1.0,66.418900655137,66.71830967386799,66.119491636406,66.588565765751,467592.0
2017-08-01,66.15,66.47,65.9,66.22,1026873.0,0.0,1.0,66.019688630163,66.339058250142,65.770181114553,66.089550734533,1026873.0
2017-07-31,66.16,66.41,65.75,65.83,606230.0,0.0,1.0,66.029668930787,66.279176446396,65.620476605188,65.700319010183,606230.0
2017-07-28,65.85,66.15,65.44,65.89,650663.0,0.0,1.0,65.720279611432,66.019688630163,65.311087285833,65.760200813929,650663.0
2017-07-27,66.36,66.41,65.57,65.79,809990.0,0.0,1.0,66.229274943274,66.279176446396,65.44083119394901,65.660397807685,809990.0
2017-07-26,68.07,68.18,66.02,66.09,1516671.0,0.0,1.0,67.93590635004,68.045689656908,65.88994472204601,65.959806826416,1516671.0
