Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,58.29,58.93,57.18,57.45,1108047.0,0.0,1.0,58.29,58.93,57.18,57.45,1108047.0
2018-03-26,57.66,58.335,57.08,58.3,1214018.0,0.0,1.0,57.66,58.335,57.08,58.3,1214018.0
2018-03-23,57.75,58.216,56.87,56.96,1535316.0,0.0,1.0,57.75,58.216,56.87,56.96,1535316.0
2018-03-22,58.73,58.99,57.5,57.55,1307755.0,0.0,1.0,58.73,58.99,57.5,57.55,1307755.0
2018-03-21,59.22,59.85,58.76,59.3,904712.0,0.0,1.0,59.22,59.85,58.76,59.3,904712.0
2018-03-20,59.03,59.62,58.86,59.12,1256880.0,0.0,1.0,59.03,59.62,58.86,59.12,1256880.0
2018-03-19,58.78,59.04,58.32,58.94,1261536.0,0.0,1.0,58.78,59.04,58.32,58.94,1261536.0
2018-03-16,59.17,59.17,58.7,58.83,2289169.0,0.0,1.0,59.17,59.17,58.7,58.83,2289169.0
2018-03-15,59.11,59.11,58.01,59.0,1715785.0,0.0,1.0,59.11,59.11,58.01,59.0,1715785.0
2018-03-14,59.29,59.29,58.485,59.09,2659494.0,0.0,1.0,59.29,59.29,58.485,59.09,2659494.0
2018-03-13,59.37,59.47,58.76,58.9,1374951.0,0.0,1.0,59.37,59.47,58.76,58.9,1374951.0
2018-03-12,60.37,60.37,58.88,59.0,2260734.0,0.0,1.0,60.37,60.37,58.88,59.0,2260734.0
2018-03-09,59.45,60.41,59.15,60.4,1177834.0,0.0,1.0,59.45,60.41,59.15,60.4,1177834.0
2018-03-08,58.8,59.14,58.3,59.05,999859.0,0.0,1.0,58.8,59.14,58.3,59.05,999859.0
2018-03-07,58.12,58.68,57.76,58.52,1418348.0,0.0,1.0,58.12,58.68,57.76,58.52,1418348.0
2018-03-06,58.56,59.03,58.24,58.59,1281888.0,0.0,1.0,58.56,59.03,58.24,58.59,1281888.0
2018-03-05,57.16,58.69,56.93,58.38,1430482.0,0.0,1.0,57.16,58.69,56.93,58.38,1430482.0
2018-03-02,57.67,57.84,56.67,57.66,1938922.0,0.0,1.0,57.67,57.84,56.67,57.66,1938922.0
2018-03-01,59.87,60.22,57.79,58.24,2415956.0,0.0,1.0,59.87,60.22,57.79,58.24,2415956.0
2018-02-28,60.51,61.23,59.85,59.85,1609493.0,0.0,1.0,60.51,61.23,59.85,59.85,1609493.0
2018-02-27,60.96,61.47,60.23,60.25,1320481.0,0.0,1.0,60.96,61.47,60.23,60.25,1320481.0
2018-02-26,59.84,61.16,59.57,61.03,1374105.0,0.0,1.0,59.84,61.16,59.57,61.03,1374105.0
2018-02-23,59.58,59.905,58.96,59.28,1835409.0,0.0,1.0,59.58,59.905,58.96,59.28,1835409.0
2018-02-22,59.83,60.42,59.41,59.52,1338148.0,0.0,1.0,59.83,60.42,59.41,59.52,1338148.0
2018-02-21,59.97,60.48,59.42,59.52,2423967.0,0.0,1.0,59.97,60.48,59.42,59.52,2423967.0
2018-02-20,59.9,60.88,59.6,60.06,1514516.0,0.0,1.0,59.9,60.88,59.6,60.06,1514516.0
2018-02-16,59.57,60.66,59.39,60.33,1650065.0,0.0,1.0,59.57,60.66,59.39,60.33,1650065.0
2018-02-15,59.08,59.86,58.9,59.68,1855217.0,0.0,1.0,59.08,59.86,58.9,59.68,1855217.0
2018-02-14,57.14,58.9,56.91,58.8,2166029.0,0.0,1.0,57.14,58.9,56.91,58.8,2166029.0
2018-02-13,57.28,58.225,57.1,57.55,1794196.0,0.0,1.0,57.28,58.225,57.1,57.55,1794196.0
2018-02-12,56.77,58.12,56.41,57.55,1799415.0,0.0,1.0,56.77,58.12,56.41,57.55,1799415.0
2018-02-09,56.2,56.87,54.36,56.31,2058924.0,0.0,1.0,56.2,56.87,54.36,56.31,2058924.0
2018-02-08,58.0,58.0,55.49,55.54,1480822.0,0.0,1.0,58.0,58.0,55.49,55.54,1480822.0
2018-02-07,57.01,58.83,56.95,57.91,1731515.0,0.0,1.0,57.01,58.83,56.95,57.91,1731515.0
2018-02-06,55.63,57.46,54.945,57.1,2452476.0,0.0,1.0,55.63,57.46,54.945,57.1,2452476.0
2018-02-05,58.2,59.85,56.15,56.66,2699105.0,0.0,1.0,58.2,59.85,56.15,56.66,2699105.0
2018-02-02,59.49,60.14,58.94,59.06,1745292.0,0.0,1.0,59.49,60.14,58.94,59.06,1745292.0
2018-02-01,58.7,60.35,58.61,59.84,2262072.0,0.0,1.0,58.7,60.35,58.61,59.84,2262072.0
2018-01-31,58.3,60.34,57.87,58.67,2668881.0,0.0,1.0,58.3,60.34,57.87,58.67,2668881.0
2018-01-30,60.89,61.07,60.12,60.18,1621035.0,0.0,1.0,60.89,61.07,60.12,60.18,1621035.0
2018-01-29,60.9,62.19,60.871,61.22,1671972.0,0.0,1.0,60.9,62.19,60.871,61.22,1671972.0
2018-01-26,60.71,60.95,60.06,60.86,1215585.0,0.0,1.0,60.71,60.95,60.06,60.86,1215585.0
2018-01-25,59.98,60.6901,59.59,60.53,1088744.0,0.0,1.0,59.98,60.6901,59.59,60.53,1088744.0
2018-01-24,59.2,60.37,59.17,59.71,1393362.0,0.0,1.0,59.2,60.37,59.17,59.71,1393362.0
2018-01-23,59.06,59.29,58.63,59.1,845939.0,0.0,1.0,59.06,59.29,58.63,59.1,845939.0
2018-01-22,58.93,59.12,58.44,59.09,1116615.0,0.0,1.0,58.93,59.12,58.44,59.09,1116615.0
2018-01-19,59.18,59.18,58.62,58.9,1193173.0,0.0,1.0,59.18,59.18,58.62,58.9,1193173.0
2018-01-18,59.26,59.39,58.77,58.81,937541.0,0.0,1.0,59.26,59.39,58.77,58.81,937541.0
2018-01-17,59.04,59.45,58.65,59.17,983938.0,0.0,1.0,59.04,59.45,58.65,59.17,983938.0
2018-01-16,60.46,60.54,58.36,58.78,1557182.0,0.0,1.0,60.46,60.54,58.36,58.78,1557182.0
2018-01-12,59.39,60.185,59.27,60.15,1213270.0,0.0,1.0,59.39,60.185,59.27,60.15,1213270.0
2018-01-11,58.51,59.12,58.5,59.09,1046977.0,0.0,1.0,58.51,59.12,58.5,59.09,1046977.0
2018-01-10,58.4,58.61,58.18,58.4,570004.0,0.0,1.0,58.4,58.61,58.18,58.4,570004.0
2018-01-09,58.43,58.6986,58.26,58.45,933757.0,0.0,1.0,58.43,58.6986,58.26,58.45,933757.0
2018-01-08,58.64,58.71,57.98,58.35,1052546.0,0.0,1.0,58.64,58.71,57.98,58.35,1052546.0
2018-01-05,57.95,58.51,57.4,58.5,2234420.0,0.0,1.0,57.95,58.51,57.4,58.5,2234420.0
2018-01-04,57.8,57.9,57.3,57.58,1189520.0,0.0,1.0,57.8,57.9,57.3,57.58,1189520.0
2018-01-03,57.03,57.795,57.0,57.63,1131145.0,0.0,1.0,57.03,57.795,57.0,57.63,1131145.0
2018-01-02,56.9,57.32,56.57,57.3,1019941.0,0.0,1.0,56.9,57.32,56.57,57.3,1019941.0
2017-12-29,57.18,57.18,56.58,56.59,600662.0,0.0,1.0,57.18,57.18,56.58,56.59,600662.0
2017-12-28,57.0,57.03,56.83,57.0,453189.0,0.0,1.0,57.0,57.03,56.83,57.0,453189.0
2017-12-27,57.05,57.165,56.72,56.97,638454.0,0.0,1.0,57.05,57.165,56.72,56.97,638454.0
2017-12-26,56.82,57.17,56.78,56.88,473237.0,0.0,1.0,56.82,57.17,56.78,56.88,473237.0
2017-12-22,57.095,57.24,56.705,56.76,944332.0,0.0,1.0,57.095,57.24,56.705,56.76,944332.0
2017-12-21,57.27,57.71,56.91,57.18,1914384.0,0.0,1.0,57.27,57.71,56.91,57.18,1914384.0
2017-12-20,56.795,57.32,56.56,57.0,1731848.0,0.0,1.0,56.795,57.32,56.56,57.0,1731848.0
2017-12-19,56.26,56.58,56.05,56.35,1270295.0,0.0,1.0,56.26,56.58,56.05,56.35,1270295.0
2017-12-18,55.5,56.26,55.29,56.19,1143295.0,0.0,1.0,55.5,56.26,55.29,56.19,1143295.0
2017-12-15,54.67,55.6,54.63,55.22,2550081.0,0.0,1.0,54.67,55.6,54.63,55.22,2550081.0
2017-12-14,54.65,54.91,54.25,54.38,823810.0,0.0,1.0,54.65,54.91,54.25,54.38,823810.0
2017-12-13,54.54,55.1725,54.361000000000004,54.62,1127531.0,0.0,1.0,54.54,55.1725,54.361000000000004,54.62,1127531.0
2017-12-12,54.68,55.05,54.56,54.57,842064.0,0.0,1.0,54.68,55.05,54.56,54.57,842064.0
2017-12-11,54.91,55.18,54.52,54.63,1013625.0,0.0,1.0,54.91,55.18,54.52,54.63,1013625.0
2017-12-08,55.06,55.2,54.72,54.84,1083010.0,0.0,1.0,55.06,55.2,54.72,54.84,1083010.0
2017-12-07,53.83,55.02,53.81,54.79,1088815.0,0.0,1.0,53.83,55.02,53.81,54.79,1088815.0
2017-12-06,53.98,54.49,53.91,53.92,1281588.0,0.0,1.0,53.98,54.49,53.91,53.92,1281588.0
2017-12-05,55.48,55.48,53.98,54.01,1342881.0,0.0,1.0,55.48,55.48,53.98,54.01,1342881.0
2017-12-04,55.64,56.47,55.18,55.18,1974549.0,0.0,1.0,55.64,56.47,55.18,55.18,1974549.0
