Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,47.1,47.9024,46.84,47.31,13995096.0,0.0,1.0,47.1,47.9024,46.84,47.31,13995096.0
2018-03-26,46.78,47.17,46.585,47.07,15253706.0,0.0,1.0,46.78,47.17,46.585,47.07,15253706.0
2018-03-23,47.06,47.455,46.2,46.29,15829967.0,0.0,1.0,47.06,47.455,46.2,46.29,15829967.0
2018-03-22,47.1,47.5199,46.77,46.88,14210836.0,0.0,1.0,47.1,47.5199,46.77,46.88,14210836.0
2018-03-21,47.69,47.96,47.27,47.28,11039354.0,0.0,1.0,47.69,47.96,47.27,47.28,11039354.0
2018-03-20,48.4,48.59,47.58,47.69,10654128.0,0.0,1.0,48.4,48.59,47.58,47.69,10654128.0
2018-03-19,48.53,48.61,48.12,48.31,11314607.0,0.0,1.0,48.53,48.61,48.12,48.31,11314607.0
2018-03-16,48.41,48.775,48.215,48.56,25633256.0,0.0,1.0,48.41,48.775,48.215,48.56,25633256.0
2018-03-15,48.53,48.765,48.14,48.29,9528752.0,0.0,1.0,48.53,48.765,48.14,48.29,9528752.0
2018-03-14,48.93,49.1,48.355,48.45,11908054.0,0.0,1.0,48.93,49.1,48.355,48.45,11908054.0
2018-03-13,49.0,49.26,48.5,48.65,12750573.0,0.0,1.0,49.0,49.26,48.5,48.65,12750573.0
2018-03-12,49.03,49.26,48.67,48.8,12416230.0,0.0,1.0,49.03,49.26,48.67,48.8,12416230.0
2018-03-09,49.2,49.23,48.35,49.01,14567728.0,0.0,1.0,49.2,49.23,48.35,49.01,14567728.0
2018-03-08,48.89,49.03,48.32,49.01,16723890.0,0.0,1.0,48.89,49.03,48.32,49.01,16723890.0
2018-03-07,48.54,49.21,48.46,48.84,16738156.0,0.0,1.0,48.54,49.21,48.46,48.84,16738156.0
2018-03-06,48.75,48.89,48.3,48.89,13490051.0,0.0,1.0,48.75,48.89,48.3,48.89,13490051.0
2018-03-05,48.15,48.94,48.02,48.71,15348432.0,0.0,1.0,48.15,48.94,48.02,48.71,15348432.0
2018-03-02,47.83,48.325,47.76,48.26,17449857.0,0.0,1.0,47.83,48.325,47.76,48.26,17449857.0
2018-03-01,47.69,48.6,47.51,47.96,28950158.0,0.0,1.0,47.69,48.6,47.51,47.96,28950158.0
2018-02-28,48.76,48.96,47.72,47.74,21029334.0,0.0,1.0,48.76,48.96,47.72,47.74,21029334.0
2018-02-27,49.02,49.17,48.04,48.04,22942551.0,0.0,1.0,49.02,49.17,48.04,48.04,22942551.0
2018-02-26,48.72,49.15,48.45,49.09,20263749.0,0.0,1.0,48.72,49.15,48.45,49.09,20263749.0
